			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Cura	Cura	1	 	x	 	 	6	5	5	5	5	10	10	20	30	10	10	5	5	0	5	5	10	5	4	4	4	4	"{Cura}

Removes all negative spells and effects except Raio perturbador and dendroid binding and heals (Spell Power x 5 + 10) hit points on the selected friendly unit. Restores health decremented with poison.
"	"{Cura básico}

Removes all negative spells and effects except Raio perturbador and dendroid binding and heals (Spell Power x 5 + 10) hit points on the selected friendly unit. Restores health decremented with poison.
"	"{Cura avançado}

Removes all negative spells and effects except Raio perturbador and dendroid binding and heals (Spell Power x 5 + 20) hit points on the selected friendly unit. Restores health decremented with poison.
"	"{Cura expert}

Removes all negative spells and effects except Disrupting Ray and dendroid binding and heals (Spell Power x 5 + 30) hit points on all friendly units. Restores health decremented with poison.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Resurreição	Resurreição	4	x	 	 	 	20	16	16	16	50	40	40	80	160	10	10	10	10	10	10	0	0	5	50	50	60	120	"{Resurreição}

Resurrects units in the selected friendly group of living creatures until the end of the battle by restoring (Spell Power x 50 + 40) hit points to the target.
"	"{Resurreição básico}

Resurrects units in the selected friendly group of living creatures until the end of the battle by restoring (Spell Power x 50 + 40) hit points to the target.
"	"{Resurreição avançado}

Resurrects units in the selected friendly group of living creatures permanently by restoring (Spell Power x 50 + 80) hit points to the target.
"	"{Resurreição expert}

Resurrects units in the selected friendly group of living creatures permanently by restoring (Spell Power x 50 + 160) hit points to the target.
"	 COMBAT_SPELL|CREATURE_TARGET
Animar mortos	Animar mortos	3	x	 	 	 	15	12	12	12	50	30	30	60	160	0	0	0	0	16	0	0	0	0	60	60	60	120	"{Animar mortos}

Re-animates any destroyed undead in the selected friendly group by restoring (Spell Power x 50 + 30) hit points to the target.
"	"{Animar mortos básico}

Re-animates any destroyed undead in the selected friendly group by restoring (Spell Power x 50 + 30) hit points to the target.
"	"{Animar mortos avançado}

Re-animates any destroyed undead in the selected friendly group by restoring (Spell Power x 50 + 60) hit points to the target.
"	"{Animar mortos expert}

Re-animates any destroyed undead in the selected friendly group by restoring (Spell Power x 50 + 160) hit points to the target.
"	 COMBAT_SPELL|CREATURE_TARGET
Sacrifício	Sacrifício	5	 	 	x	 	25	20	20	20	1	3	3	6	10	0	0	0	20	16	12	0	0	0	1	1	1	1	"{Sacrifício}

Permanently destroys a friendly living creature group in order to resurrect another friendly living creature group.  Resurrection power is ((Spell Power + Sacrificed Troop's Creature Base Health + 3) x Number of Creatures Sacrificed) hit points.
"	"{Sacrifício básico}

Permanently destroys a friendly living creature group in order to resurrect another friendly living creature group.  Resurrection power is ((Spell Power + Sacrificed Troop's Creature Base Health + 3) x Number of Creatures Sacrificed) hit points.
"	"{Sacrifício avançado}

Permanently destroys a friendly living creature group in order to resurrect another friendly living creature group.  Resurrection power is ((Spell Power + Sacrificed Troop's Creature Base Health + 6) x Number of Creatures Sacrificed) hit points.
"	"{Sacrifício expert}

Permanently destroys a friendly living creature group in order to resurrect another friendly living creature group.  Resurrection power is ((Spell Power + Sacrificed Troop's Creature Base Health + 10) x Number of Creatures Sacrificed) hit points.
"	 COMBAT_SPELL|CREATURE_TARGET
Benção	Benção	1	 	x	 	 	5	4	4	4	0	0	0	1	1	10	5	5	0	0	3	3	5	5	10	10	11	11	"{Benção}

Causes the selected friendly unit to inflict maximum damage in combat. Removes Curse effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Benção básico}

Causes the selected friendly unit to inflict maximum damage in combat. Removes Curse effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Benção avançado}

Causes the selected friendly unit to inflict damage, greater than their normal maximum damage in combat by 1. Removes Curse effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Benção expert}

Causes all friendly units to inflict damage, greater than their normal maximum damage in combat by 1. Removes Curse effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Maldição	Maldição	1	 		x	 	6	5	5	5	0	0	0	1	1	0	0	3	5	10	5	0	0	0	10	10	11	11	"{Maldição}

Causes the selected enemy unit to inflict minimum damage in combat. Removes Bless effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Maldição básico}

Causes the selected enemy unit to inflict minimum damage in combat. Removes Bless effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Maldição avançado}

Causes the selected enemy unit to inflict damage, less than their normal minimum damage in combat by 1. Removes Bless effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Maldição expert}

Causes all enemy units to inflict damage, less than their normal minimum damage in combat by 1. Removes Bless effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Sede de sangue	Sede de sangue	1	 	 	x	 	5	4	4	4	0	3	3	6	6	0	0	0	10	5	5	10	5	5	7	7	15	15	"{Sede de sangue}

Increases the hand-to-hand attack strength of the selected friendly unit by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Sede de sangue básico}

Increases the hand-to-hand attack strength of the selected friendly unit by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Sede de sangue avançado}

Increases the hand-to-hand attack strength of the selected friendly unit by 6. Spell is active for number of rounds equal to hero Spell Power.
"	"{Sede de sangue expert}

Increases the hand-to-hand attack strength of all friendly units by 6. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Precisão	Precisão	2	 	 	 	x	8	6	6	6	0	3	3	6	6	6	6	4	8	2	6	4	4	2	7	7	15	15	"{Precisão}

Increases the attack strength of the selected friendly unit ranged attack by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Precisão básico}

Increases the attack strength of the selected friendly unit ranged attack by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Precisão avançado}

Increases the attack strength of the selected friendly unit ranged attack by 6. Spell is active for number of rounds equal to hero Spell Power.
"	"{Precisão expert}

Increases the attack strength of any friendly units ranged attack by 6. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Fraqueza	Fraqueza	2	 	x	 	 	8	6	6	6	0	3	3	6	6	2	2	2	8	4	4	4	4	4	7	7	15	15	"{Fraqueza}

Reduces the selected enemy unit's attack strength by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Fraqueza básico}

Reduces the selected enemy unit's attack strength by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Fraqueza avançado}

Reduces the selected enemy unit's attack strength by 6. Spell is active for number of rounds equal to hero Spell Power.
"	"{Fraqueza expert}

Reduces the attack strength of all enemy units by 6. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Pele de pedra	Pele de pedra	1	x	 	 	 	5	4	4	4	0	3	3	6	6	5	5	10	5	10	5	10	5	5	7	7	15	15	"{Pele de pedra}

Increases the selected friendly unit's defense strength by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Pele de pedra básico}

Increases the selected friendly unit's defense strength by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Pele de pedra avançado}

Increases the selected friendly unit's defense strength by 6. Spell is active for number of rounds equal to hero Spell Power.
"	"{Pele de pedra expert}

Increases the defense strength of all friendly units by 6. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Raio perturbador	Raio perturbador	2	 	 	 	x	10	8	8	8	0	3	3	4	5	6	4	6	12	4	6	6	6	8	7	7	15	15	"{Raio perturbador}

Reduces the selected enemy unit's defense strength by 3.  A single enemy may be targeted multiple times by this spell. Undispellable. The effect persists through death and resurrection of a unit. Raio perturbador duration is unlimited.
"	"{Raio perturbador básico}

Reduces the selected enemy unit's defense strength by 3.  A single enemy may be targeted multiple times by this spell. Undispellable. The effect persists through death and resurrection of a unit. Raio perturbador duration is unlimited.
"	"{Raio perturbador avançado}

Reduces the selected enemy unit's defense strength by 4.  A single enemy may be targeted multiple times by this spell. Undispellable. The effect persists through death and resurrection of a unit. Raio perturbador duration is unlimited.
"	"{Raio perturbador expert}

Reduces the selected enemy unit's defense strength by 5.  A single enemy may be targeted multiple times by this spell. Undispellable. The effect persists through death and resurrection of a unit. Raio perturbador duration is unlimited.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Oração	Oração	4	 	x	 	 	16	12	12	12	0	2	2	4	4	10	5	5	0	0	0	0	0	5	8	8	16	16	"{Oração}

Bestows a +2 bonus to the attack strength, defense strength and speed of the selected friendly unit. Spell is active for number of rounds equal to hero Spell Power.
"	"{Oração básico}

Bestows a +2 bonus to the attack strength, defense strength and speed of the selected friendly unit. Spell is active for number of rounds equal to hero Spell Power.
"	"{Oração avançado}

Bestows a +4 bonus to the attack strength, defense strength and speed of the selected friendly unit. Spell is active for number of rounds equal to hero Spell Power.
"	"{Oração expert}

Bestows a +4 bonus to the attack strength, defense strength and speed of all friendly units. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Alegria	Alegria	3	 	x	 	 	12	9	9	9	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{Alegria}

Mind spell. Increases the selected friendly unit's morale by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Alegria básico}

Mind spell. Increases the selected friendly unit's morale by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Alegria avançado}

Mind spell. Increases the selected friendly unit's morale by 2. Spell is active for number of rounds equal to hero Spell Power.
"	"{Alegria expert}

Mind spell. Increases the morale of all friendly units by 2. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Tristeza	Tristeza	4	x	 	 	 	16	12	12	12	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{Tristeza}

Mind spell. Reduces the morale of the selected enemy unit by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Tristeza básico}

Mind spell. Reduces the morale of the selected enemy unit by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Tristeza avançado}

Mind spell. Reduces the morale of the selected enemy unit by 2. Spell is active for number of rounds equal to hero Spell Power.
"	"{Tristeza expert}

Mind spell. Reduces the morale of all enemy units by 2. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Sorte	Sorte	2	 	 	 	x	7	5	5	5	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{Sorte}

Increases the selected friendly unit's luck by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Sorte básico}

Increases the selected friendly unit's luck by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Sorte avançado}

Increases the selected friendly unit's luck by 2. Spell is active for number of rounds equal to hero Spell Power.
"	"{Sorte expert}

Increases the luck of all friendly units by 2. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Azar	Azar	3	 	 	x	 	12	9	9	9	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{Azar}

Reduces the luck of the selected enemy unit by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Azar básico}

Reduces the luck of the selected enemy unit by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Azar avançado}

Reduces the luck of the selected enemy unit by 2. Spell is active for number of rounds equal to hero Spell Power.
"	"{Azar expert}

Reduces the luck of all enemy units by 2. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Pressa	Pressa	1		 	 	x	6	5	5	5	0	3	3	5	5	5	10	5	5	5	10	5	10	10	5	5	10	10	"{Pressa}

Increases the speed of the selected friendly unit by 3. Removes Slow effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Pressa básico}

Increases the speed of the selected friendly unit by 3. Removes Slow effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Pressa avançado}

Increases the speed of the selected friendly unit by 5. Removes Slow effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Pressa expert}

Increases the speed of all friendly units by 5. Removes Slow effect. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Lerdeza	Lerdeza	1	x	 	 	 	6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{Lerdeza}

Reduces the speed of the selected enemy unit by 25%. Removes Haste effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Lerdeza básico}

Reduces the speed of the selected enemy unit by the formula (old speed x 0.75). Removes Haste effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Lerdeza avançado}

Reduces the speed of the selected enemy unit by the formula (old speed x 0.5 + 1). Removes Haste effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Lerdeza expert}

Reduces the speed of all enemy units by the formula (old speed x 0.5 + 1). Removes Haste effect. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Degolador	Degolador	4	 		x	 	16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{Degolador}

Increases the selected friendly unit's attack strength against Dragons, Behemoths, Hydras, Firebirds and Sea Serpents by 8. Spell is active for number of rounds equal to hero Spell Power.
"	"{Degolador básico}

Increases the selected friendly unit's attack strength against Dragons, Behemoths, Hydras, Firebirds and Sea Serpents by 8. Spell is active for number of rounds equal to hero Spell Power.
"	"{Degolador avançado}

Increases the selected friendly unit's attack strength against Dragons, Behemoths, Hydras, Firebirds, Sea Serpents, Devils and Angels by 8. Spell is active for number of rounds equal to hero Spell Power.
"	"{Degolador expert}

Increases the selected friendly unit's attack strength against Dragons, Behemoths, Hydras, Firebirds, Sea Serpents, Devils, Angels and Titans by 8. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET
Frenesi	Frenesi	4	 	 	x	 	16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{Frenesi}

Mind spell. Selected friendly troop intentionally lowers its defenses to 0 to increase the ferocity of its attack. Bonus to attack strength is equal to unit’s former defense. The spell takes effect immediately and lasts until the closest creature turn. After that, the spell effect until the next creature turn.
"	"{Frenesi básico}

Mind spell. Selected friendly troop intentionally lowers its defenses to 0 to increase the ferocity of its attack. Bonus to attack strength is equal to unit’s former defense. The spell takes effect immediately and lasts until the closest creature turn. After that, the spell effect until the next creature turn.
"	"{Frenesi avançado}

Mind spell. Selected friendly troop intentionally lowers its defenses to 0 to increase the ferocity of its attack. Bonus to attack strength is 1.5 times more than unit’s former defense. The spell takes effect immediately and lasts until the closest creature turn. After that, the spell effect until the next creature turn.
"	"{Frenesi expert}

Mind spell. Selected friendly troop intentionally lowers its defenses to 0 to increase the ferocity of its attack. Bonus to attack strength is 2 times more than unit’s former defense. The spell takes effect immediately and lasts until the closest creature turn. After that, the spell effect until the next creature turn.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Raio do titã	Raio do titã	5				x	0	0	0	0	0	600	600	600	600	0	0	0	0	0	0	0	0	0	75	75	75	75	"{Raio do titã}

Does 600 points of damage to selected enemy unit at no spell cost to the spellcaster.
"	"{Raio do titã}

Does 600 points of damage to selected enemy unit at no spell cost to the spellcaster.
"	"{Raio do titã}

Does 600 points of damage to selected enemy unit at no spell cost to the spellcaster.
"	"{Raio do titã}

Does 600 points of damage to selected enemy unit at no spell cost to the spellcaster.
"	
Contra-ataque	Contra-ataque	4	 	 	 	x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{Contra-ataque}

The selected friendly unit will retaliate against one additional attack each round. Spell is active for number of rounds equal to hero Spell Power.
"	"{Contra-ataque básico}

The selected friendly unit will retaliate against one additional attack each round. Spell is active for number of rounds equal to hero Spell Power.
"	"{Contra-ataque avançado}

The selected friendly unit will retaliate against two additional attacks each round. Spell is active for number of rounds equal to hero Spell Power.
"	"{Contra-ataque expert}

All friendly units will retaliate against two additional attacks each round. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Loucura	Loucura	4	 	 	x	 	20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{Loucura}

Mind spell. The targeted unit will randomly attack the nearest unit, be it friend or foe. Hypnotize effect is dispelled from target. Spell effect is valid until target make an attack, otherwise Berserk duration is unlimited.
"	"{Loucura básico}

Mind spell. The targeted unit will randomly attack the nearest unit, be it friend or foe. Hypnotize effect is dispelled from target. Spell effect is valid until target make an attack, otherwise Berserk duration is unlimited.
"	"{Loucura avançado}

Mind spell. The targeted unit as well as units adjacent to the target location will randomly attack the nearest units, be they friends or foes. Hypnotize effect is dispelled from targets. Spell effect is valid until target make an attack, otherwise Berserk duration is unlimited.
"	"{Loucura expert}

Mind spell. The targeted unit as well as any units 1 and 2 hexes away from target location will randomly attack the nearest units, be they friends or foes. Hypnotize effect is dispelled from targets. Spell effect is valid until target make an attack, otherwise Berserk duration is unlimited.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Hipnose	Hipnose	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{Hipnose}

Mind spell. Puts the selected enemy unit of not more than (Spell Power x 25 + 10) Health temporarily under your control. Removes Berserk effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Hipnose básico}

Mind spell. Puts the selected enemy unit of not more than (Spell Power x 25 + 10) Health temporarily under your control. Removes Berserk effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Hipnose avançado}

Mind spell. Puts the selected enemy unit of not more than (Spell Power x 25 + 20) Health temporarily under your control. Removes Berserk effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Hipnose expert}

Mind spell. Puts the selected enemy unit of not more than (Spell Power x 25 + 50) Health temporarily under your control. Removes Berserk effect. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Esquecimento	Esquecimento	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{Esquecimento}

Mind spell. Half of the selected enemy ranged unit forgets to use its attack. Spell is active for number of rounds equal to hero Spell Power.
"	"{Esquecimento básico}

Mind spell. Half of the selected enemy ranged unit forgets to use its attack. Spell is active for number of rounds equal to hero Spell Power.
"	"{Esquecimento avançado}

Mind spell. Causes the selected enemy ranged unit to forget to use its ranged attack in combat. Half of unit also forget to use hand-to-hand attack. Spell is active for number of rounds equal to hero Spell Power.
"	"{Esquecimento expert}

Mind spell. Causes all enemy ranged troops to forget to use their ranged attack in combat. Half of each unit also forget to use hand-to-hand attack. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Cegueira	Cegueira	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{Cegueira}

Mind spell. Temporary blinds the selected enemy unit so that it cannot move and causes it to counterattack at half its normal damage.  Blindness persists until the unit is attacked or dispelled. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Cegueira básico}

Mind spell. Temporary blinds the selected enemy unit so that it cannot move and causes it to counterattack at half its normal damage.  Blindness persists until the unit is attacked or dispelled. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Cegueira avançado}

Mind spell. Temporary blinds the selected enemy unit so that it cannot move and causes it to counterattack at one-quarter of its normal damage.  Blindness persists until the unit is attacked or dispelled. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Cegueira expert}

Mind spell. Temporary blinds the selected enemy unit so that it cannot move or counterattack.  Blindness persists until the unit is attacked or dispelled. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET
Teleportar	Teleportar	3	 	x	 	 	15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{Teleportar}

Teleports any friendly unit to any unoccupied spot on the battlefield. Removes dendroid binding effect.

Troop cannot teleport over walls or moats.
"	"{Teleportar básico}

Teleports any friendly unit to an unoccupied spot on the battlefield. Removes dendroid binding effect.

Troop cannot teleport over walls or moats.
"	"{Teleportar avançado}

Teleports any friendly unit to an unoccupied spot on the battlefield. Removes dendroid binding effect.

Troop cannot teleport over walls.
"	"{Teleportar expert}

Teleports any friendly unit to any unoccupied spot on the battlefield. Removes dendroid binding effect.
"	 COMBAT_SPELL|CREATURE_TARGET
Remover obstáculo	Remover obstáculo	2	 	x	 	 	7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{Remover obstáculo}

Removes any normal non-integrated obstacle (trees, rocks, etc.) of the caster's choice from the battlefield.
"	"{Remover obstáculo básico}

Removes any normal non-integrated obstacle (trees, rocks, etc.) of the caster's choice from the battlefield.
"	"{Remover obstáculo avançado}

Removes any normal non-integrated obstacle (trees, rocks, etc.) or Parede de fogo of the caster's choice from the battlefield.
"	"{Remover obstáculo expert}

Removes any normal non-integrated or magical obstacle of the caster's choice from the battlefield.
"	 COMBAT_SPELL|OBSTACLE_TARGET
Clone	Clone	4	 	x	 	 	24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{Clone}

Creates a temporary duplicate of the selected friendly unit stack.  The image is dispelled if it is damaged or if prototype dies. Each unit may have only one clone. Does not affect War Machines. Clone is alive for number of rounds equal to hero Spell Power.

Clones creatures of levels 1-5.
"	"{Clone básico}

Creates a temporary duplicate of the selected friendly unit stack.  The image is dispelled if it is damaged or if prototype dies. Each unit may have only one clone. Does not affect War Machines. Clone is alive for number of rounds equal to hero Spell Power.

Clones creatures of levels 1-5.
"	"{Clone avançado}

Creates a temporary duplicate of the selected friendly unit stack.  The image is dispelled if it is damaged or if prototype dies. Each unit may have only one clone. Does not affect War Machines. Clone is alive for number of rounds equal to hero Spell Power.

Clones creatures of levels 1-6.
"	"{Clone expert}

Creates a temporary duplicate of the selected friendly unit stack.  The image is dispelled if it is damaged or if prototype dies. Each unit may have only one clone. Does not affect War Machines. Clone is alive for number of rounds equal to hero Spell Power.

Clones creatures of any level.
"	 COMBAT_SPELL|CREATURE_TARGET
Chamar elemental de fogo	Chamar elemental de fogo	5			x		25	20	20	20	0	2	2	3	4	0	0	0	16	0	12	0	0	12	50	50	100	150	"{Chamar elemental de fogo}

Allows you to summon (Spell Power x 2) fire elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Chamar elemental de fogo básico}

Allows you to summon (Spell Power x 2) fire elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Chamar elemental de fogo avançado}

Allows you to summon (Spell Power x 3) fire elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Chamar elemental de fogo expert}

Allows you to summon (Spell Power x 4) fire elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	 COMBAT_SPELL
Chamar elemental de terra	Chamar elemental de terra	5	x				25	20	20	20	0	2	2	3	4	0	16	14	16	16	12	0	0	12	50	50	100	150	"{Chamar elemental de terra}

Allows you to summon (Spell Power x 2) earth elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Chamar elemental de terra básico}

Allows you to summon (Spell Power x 2) earth elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Chamar elemental de terra avançado}

Allows you to summon (Spell Power x 3) earth elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Chamar elemental de terra expert}

Allows you to summon (Spell Power x 4) earth elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	 COMBAT_SPELL
Chamar elemental de água	Chamar elemental de água	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{Chamar elemental de água}

Allows you to summon (Spell Power x 2) water elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Chamar elemental de água básico}

Allows you to summon (Spell Power x 2) water elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Chamar elemental de água avançado}

Allows you to summon (Spell Power x 3) water elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Chamar elemental de água expert}

Allows you to summon (Spell Power x 4) water elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	 COMBAT_SPELL
Chamar elemental de ar	Chamar elemental de ar	5				x	25	20	20	20	0	2	2	3	4	0	0	14	0	16	0	0	0	12	50	50	100	150	"{Chamar elemental de ar}

Allows you to summon (Spell Power x 2) air elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Chamar elemental de ar básico}

Allows you to summon (Spell Power x 2) air elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Chamar elemental de ar avançado}

Allows you to summon (Spell Power x 3) air elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Chamar elemental de ar expert}

Allows you to summon (Spell Power x 4) air elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
Petrificar	Petrificar	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Veneno	Veneno	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Prender	Prender	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Doença	Doença	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Paralisia	Paralisia	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Age	Age	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Nuvem da morte	Nuvem da morte	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Raio	Raio	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Dispel Helpful Spells	Dispel Helpful Spells	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Bafo mortal	Bafo mortal	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Bafo de ácido	Bafo de ácido	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
